id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,name,marketChangeToday,last5Points,last5PlayedSlots,last5AveragePoints
1920,3,Serhou,Guirassy,28186271.0,102.0,33.0,33.0,27.0,151810.0,3356.0,0,4,https://kickbase.b-cdn.net/pool/playersbig/1920.png,9.0,1,119.0,,"[{""hasPlayed"": true, ""points"": 155}, {""hasPlayed"": true, ""points"": 134}, {""hasPlayed"": true, ""points"": 26}, {""hasPlayed"": true, ""points"": 187}, {""hasPlayed"": true, ""points"": 101}]",Serhou Guirassy,107084.0,"[155.0, 134.0, 26.0, 187.0, 101.0]",5,120.6
7676,13,Fabian,Rieder,11752981.0,71.0,32.0,32.0,28.0,153869.0,2269.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/7676.png,32.0,1,193.0,,"[{""hasPlayed"": true, ""points"": 35}, {""hasPlayed"": true, ""points"": 134}, {""hasPlayed"": true, ""points"": 78}, {""hasPlayed"": true, ""points"": 77}, {""hasPlayed"": true, ""points"": 262}]",Fabian Rieder,183404.0,"[35.0, 134.0, 78.0, 77.0, 262.0]",5,117.2
2367,10,Romano,Schmid,16275202.0,98.0,34.0,34.0,34.0,195180.0,3325.0,256,3,https://kickbase.b-cdn.net/pool/playersbig/2367.png,10.0,2,204.0,,"[{""hasPlayed"": true, ""points"": 40}, {""hasPlayed"": true, ""points"": 16}, {""hasPlayed"": true, ""points"": 248}, {""hasPlayed"": true, ""points"": 96}, {""hasPlayed"": true, ""points"": 182}]",Romano Schmid,-230008.0,"[40.0, 16.0, 248.0, 96.0, 182.0]",5,116.4
2038,2,Konrad,Laimer,34048270.0,136.0,29.0,29.0,22.0,131747.0,3943.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/2038.png,27.0,1,115.0,,"[{""hasPlayed"": true, ""points"": 69}, {""hasPlayed"": true, ""points"": 135}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 241}, {""hasPlayed"": true, ""points"": 39}]",Konrad Laimer,45121.0,"[69.0, 135.0, 95.0, 241.0, 39.0]",5,115.8
2195,13,Finn,Dahmen,15366270.0,90.0,34.0,34.0,34.0,203411.0,3060.0,0,1,https://kickbase.b-cdn.net/pool/playersbig/2195.png,1.0,1,199.0,,"[{""hasPlayed"": true, ""points"": 28}, {""hasPlayed"": true, ""points"": 77}, {""hasPlayed"": true, ""points"": 109}, {""hasPlayed"": true, ""points"": 87}, {""hasPlayed"": true, ""points"": 274}]",Finn Dahmen,101479.0,"[28.0, 77.0, 109.0, 87.0, 274.0]",5,115.0
11675,2,Luis,Díaz,53086383.0,178.0,32.0,32.0,27.0,163321.0,5698.0,0,4,https://kickbase.b-cdn.net/pool/playersbig/11675.png,14.0,1,107.0,,"[{""hasPlayed"": true, ""points"": 205}, {""hasPlayed"": true, ""points"": 50}, {""hasPlayed"": true, ""points"": 54}, {""hasPlayed"": true, ""points"": 30}, {""hasPlayed"": true, ""points"": 225}]",Luis Díaz,38251.0,"[205.0, 50.0, 54.0, 30.0, 225.0]",5,112.8
3218,5,Mio,Backhaus,16132947.0,95.0,32.0,32.0,32.0,190988.0,3025.0,0,1,https://kickbase.b-cdn.net/pool/playersbig/3218.png,0.0,1,187.0,,"[{""hasPlayed"": true, ""points"": 179}, {""hasPlayed"": true, ""points"": 115}, {""hasPlayed"": true, ""points"": 74}, {""hasPlayed"": true, ""points"": 120}, {""hasPlayed"": true, ""points"": 67}]",Mio Backhaus,115400.0,"[179.0, 115.0, 74.0, 120.0, 67.0]",5,111.0
2030,18,Phillip,Tietz,11098607.0,56.0,29.0,29.0,19.0,120672.0,1612.0,0,4,https://kickbase.b-cdn.net/pool/playersbig/2030.png,20.0,1,145.0,,"[{""hasPlayed"": true, ""points"": 240}, {""hasPlayed"": true, ""points"": 30}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 35}, {""hasPlayed"": true, ""points"": 49}]",Phillip Tietz,161058.0,"[240.0, 30.0, 198.0, 35.0, 49.0]",5,110.4
3089,2,,Ito,5509292.0,103.0,16.0,16.0,10.0,60821.0,1652.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/3089.png,21.0,2,299.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 145}, {""hasPlayed"": true, ""points"": 117}, {""hasPlayed"": true, ""points"": 153}, {""hasPlayed"": true, ""points"": 129}]",Ito,-238682.0,"[0.0, 145.0, 117.0, 153.0, 129.0]",4,108.8
1873,3,Gregor,Kobel,23124578.0,104.0,34.0,34.0,34.0,202740.0,3530.0,0,1,https://kickbase.b-cdn.net/pool/playersbig/1873.png,1.0,1,152.0,,"[{""hasPlayed"": true, ""points"": 154}, {""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 160}, {""hasPlayed"": true, ""points"": 65}]",Gregor Kobel,52024.0,"[154.0, 81.0, 82.0, 160.0, 65.0]",5,108.4
