player_id,games_played,starts,total_points,total_playtime_seconds,snapshot_timestamp,source_snapshot_filename
7750,1.0,0.0,46.0,2538.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
8289,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
9598,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
9682,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11161,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11162,1.0,1.0,75.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11591,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11631,1.0,1.0,62.0,5806.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11959,1.0,1.0,162.0,5293.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
14890,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
15193,1.0,0.0,-14.0,507.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
15262,1.0,0.0,-6.0,1497.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
51,1.0,1.0,49.0,6161.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
1223,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
1553,1.0,0.0,29.0,1177.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
1955,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2065,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2279,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2302,1.0,0.0,62.0,2061.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2400,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2491,1.0,0.0,139.0,2060.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2717,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3102,1.0,1.0,71.0,6161.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3187,1.0,1.0,45.0,4100.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3364,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3419,1.0,1.0,13.0,6161.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3453,1.0,0.0,24.0,816.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
4352,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
4446,1.0,1.0,53.0,4984.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
4598,1.0,1.0,212.0,6161.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
6750,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7684,1.0,1.0,27.0,4094.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7723,1.0,1.0,258.0,6161.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
8381,1.0,0.0,22.0,2067.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
9683,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
10106,1.0,1.0,24.0,5345.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
12763,1.0,1.0,96.0,4101.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
13629,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
14917,1.0,1.0,61.0,6161.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
357,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
461,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
513,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
1655,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2144,1.0,1.0,134.0,6161.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2255,1.0,1.0,46.0,4425.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2863,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2864,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
